Pavardė       Vardas         Galutinis (Vid.)
----------------------------------------------------
Balciunaite    Daiva          8.69           
Balciunas      Aurimas        3.29           
Baranauskaite  Violeta        8.13           
Baranauskas    Tadas          4.44           
Bareikis       Ignas          7.47           
Bareikyte      Karolina       4.57           
Butkus         Mantas         7.49           
Butkute        Rasa           8.69           
Cicenaite      Ieva           6.92           
Cicenas        Edgaras        4.48           
Deksnys        Donatas        8.71           
Deksnyte       Gabija         7.56           
Gricius        Raimondas      7.46           
Griciute       Skaiste        8.70           
Ivanova        Ramune         3.27           
Ivanovas       Mindaugas      4.46           
Jankauskaite   Laima          8.10           
Jankauskas     Julius         8.10           
Kazlauskaite   Akvile         7.64           
Kazlauskas     Aivaras        7.50           
Morkunaite     Giedre         8.22           
Morkunas       Domas          3.31           
Paulauskaite   Birute         6.62           
Paulauskas     Andrius        8.66           
Petrauskaite   Aiste          8.64           
Petrulis       Aidas          7.54           
Petrulyte      Jorune         8.22           
Rakauskas      Giedrius       6.92           
Rimkus         Egidijus       8.11           
Rimkute        Ingrida        8.79           
Savickaite     Milda          8.04           
Savickas       Kasparas       6.91           
Semaska        Paulius        8.08           
Semaskaite     Simona         3.27           
Simkus         Karolis        3.29           
Simkute        Lina           5.07           
Sinkevicius    Vytautas       7.42           
Sinkeviciute   Zivile         8.77           
Stankevicius   Algirdas       4.46           
Stankeviciute  Austeja        7.25           
Stonkus        Jonas          8.67           
Stonkute       Kristina       7.50           
Tamulevicius   Linas          8.71           
Tamuleviciute  Monika         7.49           
Valaitys       Gediminas      7.50           
Valaityte      Justina        7.06           
Venckus        Dainius        8.12           
Venckute       Egle           8.81           
Zukauskaite    Dainora        8.07           
Zukauskas      Arnas          8.09           
